,Exporter,Importer,Resource,Year,Value (1000USD),Weight (1000kg),value share,weight share,dvalue_share,dweight_share,Tonnes Co2e,co2 vintensity,co2 wintensity
0,All,All,Agricultural products,2015,1148398291.0,2265085699.0,23.0,17.5,,,6316021004.0,5.499852319094056,2.7884247411868013
1,All,All,Agricultural products,2016,1141285619.0,2139155881.0,25.6,16.3,2.6000000000000014,-1.1999999999999993,6350319611.0,5.564180872237907,2.968610033239555
2,All,All,Agricultural products,2017,1235016177.0,1724421275.0,24.0,12.8,-1.6000000000000014,-3.5,6404217066.0,5.185532938974612,3.713835568399607
3,All,All,Agricultural products,2018,1263282272.0,1803161385.0,21.5,13.8,-2.5,1.0,6352437578.0,5.028517947887422,3.5229445521871576
4,All,All,Agricultural products,2019,1225052128.0,1630338592.0,21.9,12.6,0.3999999999999986,-1.200000000000001,6431061272.0,5.2496225466741935,3.944616967025706
0,All,All,Fossil fuels,2015,2235921262.0,6615906837.0,44.8,51.1,,,5548930443.0,2.4817199680978748,0.8387256017523029
1,All,All,Fossil fuels,2016,1773364182.0,6809959563.0,39.8,51.8,-5.0,0.6999999999999957,5385699166.0,3.036995570715773,0.7908562622400406
2,All,All,Fossil fuels,2017,2157201115.0,6802402282.0,41.9,50.4,2.1000000000000014,-1.3999999999999986,5518781584.0,2.5583064766773034,0.811298914003275
3,All,All,Fossil fuels,2018,2743915449.0,6774292671.0,46.7,52.0,4.800000000000004,1.6000000000000014,5648489224.0,2.0585507567511057,0.8338123990686968
4,All,All,Fossil fuels,2019,2607211770.0,6923217910.0,46.7,53.5,0.0,1.5,5694972078.0,2.184315115300358,0.8225903260641408
0,All,All,Metals and minerals,2015,1263272218.0,3395684688.0,25.3,26.2,,,51545831.0,0.04080342325710831,0.015179804880635018
1,All,All,Metals and minerals,2016,1200318591.0,3511318114.0,26.9,26.7,1.5999999999999979,0.5,53314049.0,0.044416581897297296,0.015183485878830288
2,All,All,Metals and minerals,2017,1391202176.0,4259366006.0,27.1,31.6,0.20000000000000284,4.900000000000002,53261138.0,0.03828425438000465,0.012504475531093864
3,All,All,Metals and minerals,2018,1481832604.0,3718159336.0,25.2,28.6,-1.9000000000000021,-3.0,54409260.0,0.03671754815836135,0.014633385792049876
4,All,All,Metals and minerals,2019,1400384456.0,3662015504.0,25.1,28.3,-0.09999999999999787,-0.3000000000000007,55022386.0,0.03929091455153941,0.015025164677729885
