Exporter M.49,Exporter ISO3,Exporter,Exporter region,Importer M.49,Importer ISO3,Importer,Importer region,Resource,Year,Value (1000USD),Weight (1000kg)
,,All,,,,All,,Agricultural products,2000,400425651.3,893085516.7
,,All,,,,All,,Fertilizers,2000,18617582.01,145571126
,,All,,,,All,,Forestry products,2000,84859627.47,252272382.8
,,All,,,,All,,Fossil fuels,2000,760203488.6,4386984193
,,All,,,,All,,Metals and minerals,2000,367236012.1,1866516146
,,All,,,,All,,Pearls and gemstones,2000,54779262.59,95955.16515
,,All,,,,All,,Agricultural products,2001,411678163.5,917859392
,,All,,,,All,,Fertilizers,2001,18435487.31,154301540.2
,,All,,,,All,,Forestry products,2001,75333930.6,257535141.8
,,All,,,,All,,Fossil fuels,2001,684176885,4397195870
,,All,,,,All,,Metals and minerals,2001,342966210.3,1779387180
,,All,,,,All,,Pearls and gemstones,2001,42066010.88,88137.45978
,,All,,,,All,,Agricultural products,2002,435208973,1315845342
,,All,,,,All,,Fertilizers,2002,19089565.47,146443772.7
,,All,,,,All,,Forestry products,2002,78680432.47,274690477.6
,,All,,,,All,,Fossil fuels,2002,706203381,4512021508
,,All,,,,All,,Metals and minerals,2002,356329757.8,1832179650
,,All,,,,All,,Pearls and gemstones,2002,51535754.77,72438.41414
,,All,,,,All,,Agricultural products,2003,503721472.9,1263626777
,,All,,,,All,,Fertilizers,2003,23280291.06,183708597.7
,,All,,,,All,,Forestry products,2003,89670903.58,280818014.1
,,All,,,,All,,Fossil fuels,2003,887499273.2,4786028831
,,All,,,,All,,Metals and minerals,2003,431095954,1867875774
,,All,,,,All,,Pearls and gemstones,2003,55198937.44,174860.1557
,,All,,,,All,,Agricultural products,2004,574943946.2,1469445839
,,All,,,,All,,Fertilizers,2004,29088466.57,211765250.9
,,All,,,,All,,Forestry products,2004,107318151.9,312396745.8
,,All,,,,All,,Fossil fuels,2004,1230948856,6083131186
,,All,,,,All,,Metals and minerals,2004,614802857.2,2103307590
,,All,,,,All,,Pearls and gemstones,2004,61429532.94,111008.6799
